nome,genero,data_nascimento,salario_bruto,quant_viagem,presença_plenario,ausencia_plenario,ausencia_justificada_plenario,presenca_comissao,ausencia_comissao,ausencia_justificada_comissao,gasto_total_par,gasto_jan_par,gasto_fev_par,gasto_mar_par,gasto_abr_par,gasto_maio_par,gasto_junho_par,gasto_jul_par,gasto_agosto_par,gasto_set_par,gasto_out_par,gasto_nov_par,gasto_dez_par,gasto_jan_gab,gasto_fev_gab,gasto_mar_gab,gasto_abr_gab,gasto_maio_gab,gasto_junho_gab,gasto_jul_gab,gasto_agosto_gab,gasto_set_gab,gasto_out_gab,gasto_nov_gab,gasto_dez_gab
HILKEA CARLA DE SOUZA MEDEIROS LIMA,F,02/07/1976,"R$
                                                            33.763,00",0,91 dias,1 dias,0 dias,62 reuniões,5 reuniões,0 reuniões,"R$ 321.096,04","R$ 24.586,19","R$ 44.761,07","R$ 52.267,87","R$ 31.382,92","R$ 38.231,83","R$ 32.701,13","R$ 15.878,04","R$ 19.847,11","R$ 20.700,30","R$ 40.204,82","R$ 534,76",,"111.271,39","111.271,39","111.271,39","111.271,39","111.271,39","110.132,42","111.538,26","111.238,30","111.538,26","111.538,26",,
VANDA DENIR MILANI NOGUEIRA,F,17/09/1953,"R$
                                                            33.763,00",0,72 dias,7 dias,13 dias,31 reuniões,22 reuniões,11 reuniões,"R$ 395.931,24","R$ 45.066,55","R$ 49.027,62","R$ 29.462,19","R$ 36.127,46","R$ 71.009,98","R$ 22.618,07","R$ 41.106,51","R$ 44.816,37","R$ 25.900,00","R$ 30.796,49",,,"109.028,91","110.980,61","111.507,90","109.468,16","111.544,28","110.383,90","111.280,73","111.580,69","111.580,69","106.487,76",,
CARMEN EMÍLIA BONFÁ ZANOTTO,F,06/10/1962,"R$
                                                            33.763,00",0,92 dias,0 dias,0 dias,62 reuniões,15 reuniões,0 reuniões,"R$ 239.861,51","R$ 15.385,24","R$ 28.801,18","R$ 31.514,98","R$ 30.373,86","R$ 35.066,26","R$ 31.040,14","R$ 26.674,03","R$ 14.544,84","R$ 11.885,29","R$ 14.575,69",,,"101.754,20","102.247,05","101.219,81","102.930,96","102.930,96","101.603,76","86.458,75","91.918,18","92.236,93","97.802,61",,
ALICE MAZZUCO PORTUGAL,F,16/05/1959,"R$
                                                            33.763,00",0,91 dias,1 dias,0 dias,70 reuniões,28 reuniões,0 reuniões,"R$ 380.746,29","R$ 64.843,86","R$ 35.974,10","R$ 45.630,28","R$ 30.967,04","R$ 44.643,22","R$ 33.926,95","R$ 26.133,78","R$ 37.427,88","R$ 27.482,05","R$ 33.668,90","R$ 48,23",,"109.364,13","110.762,68","110.837,35","110.137,04","110.137,04","110.137,04","110.137,04","110.131,96","111.046,92","111.046,92",,
ALINE SLEUTJES,F,26/07/1979,"R$
                                                            33.763,00",0,81 dias,0 dias,11 dias,25 reuniões,5 reuniões,7 reuniões,"R$ 271.444,38","R$ 18.718,10","R$ 42.340,70","R$ 49.189,30","R$ 28.504,61","R$ 62.024,69","R$ 25.909,67","R$ 20.829,47","R$ 10.742,51","R$ 4.466,72","R$ 8.102,19","R$ 616,42",,"108.562,89","107.823,39","108.054,31","102.862,93","104.407,00","105.903,30","107.141,12","104.241,48","105.514,93","93.070,21",,
SAMIA DE SOUZA BOMFIM,F,22/08/1989,"R$
                                                            33.763,00",0,78 dias,0 dias,14 dias,32 reuniões,3 reuniões,0 reuniões,"R$ 320.776,66","R$ 29.863,31","R$ 33.173,07","R$ 52.100,08","R$ 33.373,57","R$ 49.527,82","R$ 25.800,86","R$ 31.637,36","R$ 25.034,27","R$ 10.727,26","R$ 25.539,06","R$ 4.000,00",,"101.425,05","108.439,14","108.239,71","106.353,47","110.257,66","110.871,10","110.871,10","110.871,10","110.871,10","110.871,10",,
DANIELA MOTE DE SOUZA CARNEIRO,F,10/02/1976,"R$
                                                            33.763,00",0,80 dias,2 dias,10 dias,42 reuniões,9 reuniões,9 reuniões,"R$ 309.318,38","R$ 35.968,58","R$ 36.604,61","R$ 48.540,64","R$ 61.049,56","R$ 50.236,04","R$ 27.308,97","R$ 20.808,56","R$ 13.155,35","R$ 11.253,04","R$ 4.366,75","R$ 26,28",,"111.004,43","110.578,75","110.970,40","111.234,95","111.234,95","111.234,95","111.234,95","110.155,05","109.870,15","100.152,27",,
ROSIANE MODESTO  DE OLIVEIRA,F,20/02/1978,"R$
                                                            33.763,00",0,77 dias,6 dias,9 dias,0 reuniões,4 reuniões,0 reuniões,"R$ 202.187,67","R$ 16.532,25","R$ 28.174,06","R$ 22.572,80","R$ 28.359,47","R$ 28.108,83","R$ 26.531,02","R$ 14.867,91","R$ 6.958,44","R$ 8.464,46","R$ 18.149,96","R$ 3.468,47",,"109.718,66","110.767,63","111.653,67","111.653,67","109.880,49","109.891,34","111.617,27","97.483,92","90.265,59","93.489,86",,
RENATA HELLMEISTER DE ABREU,F,15/04/1982,"R$
                                                            33.763,00",0,48 dias,0 dias,14 dias,5 reuniões,18 reuniões,10 reuniões,"R$ 208.238,76","R$ 31.109,86","R$ 32.113,25","R$ 42.089,94","R$ 31.671,65","R$ 42.896,72","R$ 3.728,86",,,,"R$ 22.911,39","R$ 1.717,09",,"96.622,36","104.075,25","110.440,45","106.841,60","108.188,68","109.718,62","106.018,07","110.109,96","110.476,84","110.575,46",,
CHRISTINE NOGUEIRA DOS REIS TONIETTO,F,14/05/1991,"R$
                                                            33.763,00",0,88 dias,2 dias,2 dias,59 reuniões,6 reuniões,4 reuniões,"R$ 133.178,31","R$ 11.369,60","R$ 10.173,11","R$ 9.970,30","R$ 13.872,46","R$ 12.050,51","R$ 19.466,91","R$ 25.628,43","R$ 11.169,95","R$ 3.255,31","R$ 15.855,62","R$ 366,11",,"69.040,75","69.101,84","69.101,84","71.632,90","76.266,55","85.504,27","88.597,50","88.597,50","88.597,50","82.910,48",,
CHRISTIANE DE SOUZA YARED,F,23/02/1960,"R$
                                                            33.763,00",0,83 dias,0 dias,9 dias,27 reuniões,5 reuniões,6 reuniões,"R$ 330.395,35","R$ 23.957,30","R$ 44.324,43","R$ 35.762,57","R$ 54.189,41","R$ 41.149,82","R$ 32.246,76","R$ 23.122,06","R$ 18.987,00","R$ 15.446,67","R$ 40.295,66","R$ 913,67",,"108.772,44","108.772,44","108.772,44","108.772,44","108.366,22","104.176,55","111.586,94","111.586,94","111.586,94","108.683,92",,
EDNACE ALVES SILVESTRE HENRIQUE,F,04/09/1958,"R$
                                                            33.763,00",0,52 dias,1 dias,9 dias,13 reuniões,6 reuniões,7 reuniões,"R$ 245.404,75",,,,"R$ 21.722,42","R$ 41.564,86","R$ 44.584,53","R$ 40.428,22","R$ 32.338,39","R$ 34.109,42","R$ 30.426,91","R$ 230,00",,"110.222,29","107.865,76","109.797,12","111.663,63","111.512,59","111.590,85","111.590,85","111.590,85","111.590,85","111.590,85",,
CLARISSA BARROS ASSED MATHEUS DE OLIVEIRA,F,02/07/1982,"R$
                                                            33.763,00",0,86 dias,6 dias,0 dias,37 reuniões,14 reuniões,0 reuniões,"R$ 297.350,01","R$ 7.971,69","R$ 16.907,30","R$ 54.747,61","R$ 49.861,80","R$ 57.969,92","R$ 53.352,84","R$ 20.869,99","R$ 15.804,77","R$ 9.631,78","R$ 10.118,65","R$ 113,66",,"110.918,38","110.319,03","110.945,19","111.532,21","111.532,21","111.532,21","111.532,21","111.532,21","111.532,21","111.532,21",,
SORAYA ALENCAR DOS SANTOS,F,04/12/1958,"R$
                                                            33.763,00",0,90 dias,0 dias,2 dias,29 reuniões,16 reuniões,0 reuniões,"R$ 247.739,60","R$ 30.377,64","R$ 25.882,69","R$ 44.839,17","R$ 32.605,66","R$ 18.501,89","R$ 34.461,17","R$ 25.720,88","R$ 19.262,46","R$ 5.904,46","R$ 9.654,69","R$ 528,89",,"109.912,12","110.159,23","104.418,43","104.366,11","108.917,92","108.917,92","109.011,86","110.852,93","110.852,93","110.852,93",,
SILVIA CRISTINA AMANCIO CHAGAS,F,15/01/1974,"R$
                                                            33.763,00",0,89 dias,1 dias,2 dias,55 reuniões,31 reuniões,5 reuniões,"R$ 326.142,16","R$ 38.497,24","R$ 41.381,49","R$ 41.593,07","R$ 52.095,78","R$ 77.841,57","R$ 30.489,93","R$ 21.356,30","R$ 8.189,34","R$ 4.412,39","R$ 7.253,38","R$ 3.031,67",,"111.374,48","110.870,15","110.767,11","111.370,23","111.247,85","111.259,60","111.526,12","111.514,99","111.410,91","111.315,81",,
TALIRIA PETRONE SOARES,F,09/04/1985,"R$
                                                            33.763,00",0,76 dias,2 dias,14 dias,27 reuniões,32 reuniões,19 reuniões,"R$ 273.733,18","R$ 35.801,22","R$ 32.189,96","R$ 31.865,89","R$ 45.403,28","R$ 29.413,08","R$ 37.323,98","R$ 24.098,94","R$ 23.355,39","R$ 10.439,80","R$ 3.279,24","R$ 562,40",,"111.647,51","111.647,51","111.647,51","111.555,29","111.584,31","111.647,53","111.647,53","110.216,76","111.417,00","111.276,31",,
TEREZA NELMA DA SILVA PORTO VIANA SOARES,F,07/10/1957,"R$
                                                            33.763,00",0,79 dias,0 dias,13 dias,103 reuniões,36 reuniões,49 reuniões,"R$ 366.423,07","R$ 42.581,54","R$ 41.297,61","R$ 47.878,77","R$ 54.271,73","R$ 56.885,66","R$ 33.460,03","R$ 30.126,11","R$ 27.479,91","R$ 24.726,16","R$ 3.330,45","R$ 4.385,10",,"111.471,49","109.973,66","109.423,19","109.733,42","109.422,19","104.705,24","109.483,86","110.785,88","110.860,47","110.833,78",,
TEREZA CRISTINA CORREA DA COSTA DIAS,F,06/07/1954,"R$
                                                            33.763,00",0,63 dias,4 dias,2 dias,59 reuniões,6 reuniões,1 reuniões,"R$ 153.213,89",,,"R$ 0,04","R$ 21.629,55","R$ 17.413,02","R$ 24.574,99","R$ 29.064,98","R$ 17.058,41","R$ 14.118,74","R$ 24.831,46","R$ 4.522,70",,"0,00","0,00","1.279,50","71.166,60","104.538,87","108.750,39","111.222,82","102.614,06","93.234,05","89.798,37",,
SHÉRIDAN ESTÉRFANY OLIVEIRA RAMOS,F,11/04/1984,"R$
                                                            33.763,00",0,53 dias,4 dias,35 dias,0 reuniões,3 reuniões,0 reuniões,"R$ 406.013,67","R$ 47.717,67","R$ 50.310,81","R$ 47.454,50","R$ 20.489,75","R$ 41.030,40","R$ 35.713,64","R$ 41.489,54","R$ 36.464,07","R$ 37.465,47","R$ 41.866,90","R$ 6.010,92",,"104.351,76","98.699,47","100.259,52","100.363,57","99.170,39","111.192,45","104.911,24","108.772,24","109.791,30","108.036,70",,
LUIZA ERUNDINA DE SOUSA,F,30/11/1934,"R$
                                                            33.763,00",0,78 dias,0 dias,14 dias,37 reuniões,14 reuniões,9 reuniões,"R$ 222.485,05","R$ 17.316,28","R$ 17.369,22","R$ 13.312,38","R$ 23.549,05","R$ 49.196,58","R$ 41.316,33","R$ 41.450,36","R$ 18.601,72","R$ 126,15",,"R$ 246,98",,"106.370,19","98.801,78","96.737,67","96.737,67","96.737,67","96.737,67","96.737,67","96.737,67","96.737,67","102.137,42",,
LUIZIANNE DE OLIVEIRA LINS,F,18/11/1968,"R$
                                                            33.763,00",0,82 dias,3 dias,7 dias,5 reuniões,10 reuniões,6 reuniões,"R$ 394.965,38","R$ 43.009,21","R$ 49.188,28","R$ 62.832,39","R$ 40.398,85","R$ 50.556,05","R$ 27.655,84","R$ 25.583,94","R$ 56.182,22","R$ 8.648,41","R$ 30.543,49","R$ 366,70",,"111.647,55","111.647,55","111.647,55","111.647,55","111.647,55","111.647,55","111.532,28","111.532,28","111.532,28","111.532,28",,
MAGDA MOFATTO HON,F,26/10/1948,"R$
                                                            33.763,00",0,77 dias,12 dias,3 dias,28 reuniões,36 reuniões,6 reuniões,"R$ 248.362,06","R$ 41.429,43","R$ 31.068,63","R$ 47.136,54","R$ 47.632,39","R$ 46.414,73","R$ 19.428,88","R$ 6.001,17","R$ 8.505,69","R$ 395,33","R$ 349,27",,,"103.642,03","111.061,35","110.458,33","109.242,74","110.160,73","111.392,46","111.429,23","111.429,23","100.201,81","100.742,41",,
FABIANA SILVA DE SOUZA,F,09/01/1980,"R$
                                                            33.763,00",0,76 dias,5 dias,11 dias,22 reuniões,0 reuniões,4 reuniões,"R$ 253.074,32","R$ 19.669,14","R$ 45.316,31","R$ 58.832,43","R$ 30.152,26","R$ 32.781,41","R$ 27.385,49","R$ 25.479,97","R$ 6.199,02","R$ 5.005,38","R$ 1.966,38","R$ 286,53",,"111.544,24","111.438,52","111.398,27","111.315,37","111.119,65","111.039,60","111.350,20","111.350,20","111.554,84","111.344,35",,
CYLMARA FERNANDES DA ROCHA GRIPP,F,04/09/1973,"R$
                                                            33.763,00",0,77 dias,1 dias,14 dias,30 reuniões,16 reuniões,6 reuniões,"R$ 431.336,20","R$ 56.886,05","R$ 57.867,30","R$ 54.199,26","R$ 62.724,01","R$ 46.657,40","R$ 33.841,62","R$ 21.007,85","R$ 23.443,28","R$ 30.345,94","R$ 44.363,49",,,"110.779,96","110.779,96","110.779,96","110.779,96","110.779,96","109.894,35","110.779,96","110.983,86","111.574,61","111.492,81",,
MARIA DO ROSÁRIO NUNES,F,22/11/1966,"R$
                                                            33.763,00",0,77 dias,9 dias,6 dias,48 reuniões,22 reuniões,12 reuniões,"R$ 390.396,84","R$ 45.949,20","R$ 43.740,41","R$ 69.986,28","R$ 49.177,17","R$ 42.746,98","R$ 41.192,91","R$ 36.138,61","R$ 26.246,21","R$ 12.312,33","R$ 20.719,64","R$ 2.187,10",,"108.772,35","108.772,35","108.876,06","111.047,03","106.150,54","107.898,86","108.449,48","109.367,19","110.743,74","110.743,74",,
MARIA DO PARTO MENDES ROSAS,F,01/10/1965,"R$
                                                            33.763,00",0,62 dias,0 dias,0 dias,41 reuniões,2 reuniões,0 reuniões,"R$ 187.686,02",,,,"R$ 18.825,99","R$ 31.183,42","R$ 39.925,50","R$ 29.239,92","R$ 24.673,76","R$ 27.178,62","R$ 16.458,81","R$ 200,00",,"106.936,54","107.061,76","110.238,71","111.538,37","111.538,37","109.915,15","107.599,10","111.210,42","111.538,37","111.538,37",,
MARÍLIA VALENÇA ROCHA ARRAES DE ALENCAR,F,12/04/1984,"R$
                                                            33.763,00",0,64 dias,7 dias,21 dias,3 reuniões,5 reuniões,5 reuniões,"R$ 287.696,14","R$ 13.902,07","R$ 25.170,41","R$ 93.784,61","R$ 29.683,86","R$ 54.406,01","R$ 14.216,62","R$ 21.165,20","R$ 14.176,43","R$ 9.508,71","R$ 10.398,31","R$ 1.283,91",,"108.653,71","111.429,12","111.429,12","109.087,10","107.972,58","111.617,16","110.853,68","111.354,04","98.888,69","87.984,76",,
MARINA SANTOS BATISTA DIAS,F,13/09/1980,"R$
                                                            33.763,00",0,90 dias,0 dias,2 dias,6 reuniões,12 reuniões,1 reuniões,"R$ 357.545,02","R$ 23.811,47","R$ 41.587,12","R$ 38.764,57","R$ 41.760,61","R$ 35.827,39","R$ 43.099,71","R$ 38.934,07","R$ 25.951,64","R$ 26.865,00","R$ 39.929,24","R$ 1.014,20",,"111.495,88","111.495,88","111.311,17","111.495,87","111.185,14","111.495,87","111.495,88","111.495,88","111.495,88","111.495,88",,
NATÁLIA BASTOS BONAVIDES,F,15/06/1988,"R$
                                                            33.763,00",0,86 dias,0 dias,6 dias,16 reuniões,15 reuniões,4 reuniões,"R$ 339.385,80","R$ 31.946,09","R$ 31.413,95","R$ 72.688,49","R$ 54.961,85","R$ 61.905,75","R$ 41.735,22","R$ 31.051,52","R$ 7.935,30","R$ 2.706,85","R$ 2.967,78","R$ 73,00",,"106.600,62","90.902,30","96.132,21","102.664,33","98.979,97","99.242,75","104.019,87","107.795,14","111.410,75","111.213,52",,
NORMA AYUB ALVES,F,07/09/1959,"R$
                                                            33.763,00",0,77 dias,1 dias,14 dias,20 reuniões,5 reuniões,8 reuniões,"R$ 283.058,92","R$ 19.354,87","R$ 22.480,29","R$ 25.213,93","R$ 34.202,81","R$ 34.648,47","R$ 33.963,01","R$ 31.584,22","R$ 23.186,05","R$ 21.829,52","R$ 33.681,50","R$ 2.914,25",,"109.263,62","109.263,62","109.371,25","108.682,13","108.282,54","109.497,38","106.962,54","107.480,28","107.282,54","110.694,20",,
PATRICIA LIMA FERRAZ,F,09/01/1980,"R$
                                                            33.763,00",0,10 dias,0 dias,0 dias,0 reuniões,0 reuniões,0 reuniões,"R$ 61.594,97",,,,,,,,,"R$ 7.370,23","R$ 52.876,43","R$ 1.348,31",,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",,
KATIA DA SILVA SASTRE,F,04/04/1976,"R$
                                                            33.763,00",0,91 dias,1 dias,0 dias,38 reuniões,19 reuniões,0 reuniões,"R$ 373.876,63","R$ 34.893,09","R$ 34.694,24","R$ 64.166,28","R$ 35.385,20","R$ 36.339,70","R$ 38.923,80","R$ 34.961,86","R$ 43.018,05","R$ 29.335,74","R$ 22.064,62","R$ 94,05",,"107.322,54","104.138,84","105.140,20","105.895,02","105.351,11","96.070,39","98.655,82","111.265,29","111.265,29","110.985,86",,
MARIA AUXILIADORA SEABRA REZENDE,F,01/10/1964,"R$
                                                            33.763,00",0,71 dias,3 dias,0 dias,69 reuniões,41 reuniões,3 reuniões,"R$ 244.204,17","R$ 20.187,34","R$ 51.058,21","R$ 42.305,79","R$ 52.041,49","R$ 47.722,61","R$ 22.610,88","R$ 8.277,85",,,,,,"97.131,95","97.131,95","102.063,65","104.981,11","97.310,99","99.796,88","102.973,35","109.375,33","111.544,35","111.545,52",,
MARCIVANIA DO SOCORRO DA ROCHA FLEXA,F,21/06/1973,"R$
                                                            33.763,00",0,91 dias,1 dias,0 dias,34 reuniões,7 reuniões,0 reuniões,"R$ 372.925,42","R$ 73.518,31","R$ 24.414,79","R$ 47.486,37","R$ 49.562,35","R$ 28.947,17","R$ 39.390,78","R$ 27.825,99","R$ 17.943,62","R$ 7.350,58","R$ 50.485,46","R$ 6.000,00",,"111.465,49","111.400,50","110.738,38","111.378,13","111.439,63","111.111,26","111.351,62","111.476,44","111.465,50","111.483,67",,
DAYANE JAMILLE CARNEIRO DOS SANTOS PIMENTEL,F,30/01/1986,"R$
                                                            33.763,00",0,67 dias,8 dias,17 dias,24 reuniões,16 reuniões,13 reuniões,"R$ 221.802,92","R$ 24.757,35","R$ 14.536,29","R$ 33.354,13","R$ 32.630,75","R$ 38.636,18","R$ 25.835,19","R$ 21.096,42","R$ 20.196,27","R$ 4.322,45","R$ 6.205,76","R$ 232,13",,"103.819,39","108.270,50","109.719,50","110.069,34","110.134,52","109.472,23","110.404,13","110.404,13","110.398,05","108.576,72",,
ELCIONE THEREZINHA ZAHLUTH BARBALHO,F,05/10/1944,"R$
                                                            33.763,00",0,74 dias,10 dias,8 dias,11 reuniões,15 reuniões,3 reuniões,"R$ 324.749,25","R$ 18.282,77","R$ 21.903,47","R$ 42.172,90","R$ 54.698,46","R$ 50.424,42","R$ 44.680,57","R$ 25.428,51","R$ 30.182,96","R$ 15.955,03","R$ 18.147,74","R$ 2.872,42",,"109.942,97","108.266,63","106.606,75","106.963,42","110.173,43","110.012,89","110.173,43","111.342,81","111.617,17","105.768,72",,
REJANE RIBEIRO SOUSA DIAS,F,04/09/1972,"R$
                                                            33.763,00",0,90 dias,2 dias,0 dias,65 reuniões,33 reuniões,0 reuniões,"R$ 241.957,13","R$ 16.913,54","R$ 23.065,31","R$ 34.072,61","R$ 41.316,06","R$ 35.393,20","R$ 27.658,11","R$ 30.276,40","R$ 10.634,60","R$ 10.120,33","R$ 11.597,34","R$ 909,63",,"94.123,29","94.123,29","94.123,29","96.640,01","103.386,00","97.900,48","110.730,33","111.077,25","111.077,25","109.208,19",,
FLÁVIA CAROLINA PÉRES,F,21/01/1980,"R$
                                                            33.763,00",0,60 dias,4 dias,5 dias,0 reuniões,3 reuniões,1 reuniões,"R$ 97.678,83",,,,"R$ 6.864,73","R$ 10.563,71","R$ 18.634,34","R$ 15.284,18","R$ 16.185,53","R$ 14.441,81","R$ 15.704,53",,,"0,00","0,00","1.906,24","70.338,95","79.195,45","81.408,68","85.648,32","88.827,97","88.827,97","88.827,97",,
ÉRIKA JUCÁ KOKAY,F,15/08/1957,"R$
                                                            33.763,00",0,90 dias,1 dias,1 dias,132 reuniões,16 reuniões,1 reuniões,"R$ 220.065,03","R$ 21.175,36","R$ 26.961,36","R$ 57.030,55","R$ 8.623,76","R$ 69.810,79","R$ 1.267,02","R$ 375,92","R$ 393,19","R$ 354,58","R$ 33.212,46","R$ 860,04",,"106.905,18","108.909,18","111.417,57","111.495,83","111.623,02","111.495,84","110.449,20","109.666,70","111.532,23","111.473,53",,
FERNANDA MELCHIONNA E SILVA,F,02/02/1984,"R$
                                                            33.763,00",0,88 dias,3 dias,1 dias,54 reuniões,9 reuniões,0 reuniões,"R$ 305.160,05","R$ 20.500,17","R$ 21.194,89","R$ 56.736,14","R$ 41.442,21","R$ 70.363,57","R$ 28.035,03","R$ 34.736,50","R$ 7.126,13","R$ 2.302,50","R$ 17.867,64","R$ 4.855,27",,"108.969,03","110.770,20","111.295,57","111.471,67","111.471,67","111.005,21","108.790,95","108.173,01","107.268,84","100.470,41",,
GLEISI HELENA HOFFMANN,F,06/09/1965,"R$
                                                            33.763,00",0,66 dias,0 dias,26 dias,3 reuniões,4 reuniões,1 reuniões,"R$ 373.767,14","R$ 48.759,04","R$ 47.652,40","R$ 59.416,08","R$ 55.375,62","R$ 43.129,42","R$ 20.852,42","R$ 26.211,68","R$ 23.293,93","R$ 17.899,82","R$ 29.734,54","R$ 1.442,19",,"111.526,42","111.526,42","111.526,42","111.526,42","111.526,42","111.526,42","111.526,42","111.526,42","111.526,42","111.526,42",,
